bids_name	NumberOfShells	bValues	bValuesEstimation	bdiffs_max	bdiffs_mean	bdiffs_median	bdiffs_min	efc_shell01	efc_shell02	efc_shell03	fa_degenerate	fa_nans	fber_shell01	fber_shell02	fber_shell03	fd_mean	fd_num	fd_perc	ndc	sigma_cc	sigma_pca	sigma_piesno	snr_cc_shell0	snr_cc_shell1_best	snr_cc_shell1_worst	snr_cc_shell2_best	snr_cc_shell2_worst	spikes_global	spikes_slice_i	spikes_slice_j	spikes_slice_k	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	summary_wm_k	summary_wm_mad	summary_wm_mean	summary_wm_median	summary_wm_n	summary_wm_p05	summary_wm_p95	summary_wm_stdv
sub-618650_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.1924	0.0591	0.0543	0.0028	0.5434	0.6114	0.6602	0.0	0.0	500.084	98.9395	34.9915	9.4272	107	97.27272727272727	0.8533	32.6172	5.4996	1.9809	4.96	5.07	5.07	2.9	1.39	78.32	511.36	508.45	418.57	161.9937	2.9652	11.1499	6.0	462507.0	3.0	38.0	16.4415	60.0835	45.9607	159.1568	149.0	186453.0	65.0	264.0	75.5917	14.757	37.0651	156.2014	146.0	48798.0	99.0	244.0	52.6172
sub-626811_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.2587	0.1834	0.1879	0.0574	0.5575	0.6005	0.6484	0.0	0.0	471.3391	78.0243	27.7116	16.6846	107	97.27272727272727	0.9506	20.7564	5.2466	1.9809	6.6	6.92	6.92	3.95	2.12	88.73	643.94	549.24	553.89	65.5253	2.9652	11.625	6.0	455459.0	3.0	41.0	18.256	35.6996	45.9607	142.8112	131.0	193501.0	67.0	250.0	69.4066	8.9348	37.0651	133.1931	125.0	51896.0	74.0	214.0	46.5402
sub-641566_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.2033	0.0772	0.0638	0.0053	0.5101	0.5981	0.6513	0.0	0.0	565.4054	92.2854	32.9813	15.6028	107	97.27272727272727	0.8178	38.5477	5.5936	1.9809	3.79	3.87	3.87	2.17	1.12	76.57	506.99	537.59	467.32	114.8217	2.9652	10.4298	6.0	481710.0	3.0	33.0	15.0316	72.6328	50.4085	161.5831	150.0	167250.0	59.0	281.0	85.0273	38.9908	37.0651	152.0604	147.0	40680.0	79.0	232.0	54.4446
sub-652844_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.1248	0.0246	0.0157	0.0009	0.5475	0.6176	0.6749	0.0	0.0	411.9612	83.7879	29.9442	6.0016	108	98.18181818181819	0.9441	23.7216	5.5332	2.146	6.08	6.22	6.22	3.95	1.68	67.03	367.13	439.98	374.87	89.5754	2.9652	11.9458	6.0	464863.0	3.0	43.0	17.1149	76.2933	44.4781	146.811	137.0	184097.0	57.0	245.0	74.0045	7.4816	37.0651	141.2271	132.0	52584.0	70.0	230.0	53.679
sub-672857_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.1609	0.0573	0.0501	0.0117	0.5218	0.602	0.6576	0.0	0.0	452.4604	86.99	31.6208	8.6311	107	97.27272727272727	0.7559	29.652	5.5483	2.146	5.28	5.43	5.43	3.26	1.43	71.11	375.87	439.98	379.91	65.7378	2.9652	9.9127	6.0	481210.0	3.0	31.0	12.0138	36.6759	44.4781	150.8252	140.0	167750.0	53.0	258.0	73.2462	6.8813	35.5825	148.5258	141.0	45701.0	83.0	230.0	50.8098
sub-676955_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.1625	0.0436	0.0333	0.0032	0.5233	0.6032	0.6615	0.0	0.0	448.9748	86.8657	30.8108	7.6604	107	97.27272727272727	0.5925	28.1694	5.3557	1.9809	5.8	5.94	5.94	3.49	1.55	59.55	324.88	321.97	311.83	140.0745	2.9652	10.3263	6.0	472494.0	3.0	32.0	13.9375	98.308	47.4433	150.1433	140.0	176466.0	53.0	256.0	80.1555	20.0069	40.0303	144.9261	138.0	48712.0	68.0	229.0	56.4274
sub-698741_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.351	0.1119	0.1003	0.01	0.5394	0.6026	0.6489	0.0	0.0	497.9743	86.0356	30.1968	18.3855	107	97.27272727272727	0.7876	31.1346	5.5477	1.9809	5.0	5.13	5.13	2.8	1.38	105.53	861.01	786.71	651.39	91.5309	2.9652	11.2607	6.0	462143.0	3.0	38.0	16.6231	38.3535	48.9259	163.7035	150.0	186817.0	77.0	285.0	80.6594	28.2857	37.0651	151.0138	146.0	48491.0	87.0	227.0	48.9225
sub-700822_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.2192	0.0738	0.047	0.0013	0.5249	0.6091	0.6589	0.0	0.0	442.5921	78.8393	29.1639	16.3919	109	99.0909090909091	0.858	51.8911	5.5864	1.9809	3.1	3.17	3.17	1.87	0.9	70.06	434.15	460.37	453.87	78.8929	2.9652	10.6406	6.0	472009.0	3.0	32.0	13.8887	75.0052	48.9259	153.763	143.0	176951.0	57.0	266.0	81.6237	11.1345	38.5477	147.691	140.0	44855.0	80.0	237.0	55.0798
sub-760384_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.2292	0.1408	0.1409	0.0352	0.557	0.6083	0.6515	0.0	0.0	436.9509	82.8496	30.3248	20.7274	107	97.27272727272727	0.9632	28.1694	5.674	1.9809	5.2	5.35	5.35	3.04	1.72	109.63	833.33	794.0	695.1	95.3805	2.9652	11.816	6.0	455925.0	3.0	39.0	18.8663	29.3665	45.9607	149.8026	138.0	193035.0	72.0	261.0	70.9642	14.8132	38.5477	141.0186	135.0	55939.0	81.0	221.0	47.6234
sub-766406_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.1794	0.048	0.0291	0.0049	0.5224	0.6032	0.6607	0.0	0.0	461.1649	78.3222	28.8076	9.8315	109	99.0909090909091	0.9258	26.6868	5.2416	1.9809	5.94	6.11	6.11	3.64	1.54	63.53	386.07	400.64	318.55	60.4472	2.9652	9.6572	6.0	483121.0	3.0	30.0	11.7761	31.8741	45.9607	139.0057	131.0	165839.0	46.0	240.0	68.7922	29.7973	38.5477	137.153	132.0	47166.0	64.0	216.0	51.8286
sub-782818_dwi	2	[0.0, 1000.0, 2000.0]	[1000.0, 2000.0]	0.2465	0.1129	0.0974	0.0221	0.538	0.5948	0.6386	0.0	0.0	547.0621	97.2021	35.3909	16.2755	108	98.18181818181819	0.9663	21.4977	5.4788	1.9809	7.65	7.87	7.87	4.49	2.18	65.73	377.33	445.8	337.88	53.0199	2.9652	11.727	6.0	471428.0	3.0	43.0	18.5073	88.4516	44.4781	149.6827	139.0	177532.0	67.0	251.0	74.8862	7.2649	37.0651	147.3603	140.0	50505.0	89.0	225.0	46.5985
